Number of iterations: 50
a[1] = -0.6478329168453575    b[1] = 5.000000000000001
a[2] = -0.0037377148259262975    b[2] = -0.5000000000000001
a[3] = -0.08194867474084137    b[3] = 1.6666666666666679
a[4] = -0.003737714825926852    b[4] = -0.25000000000000017
a[5] = -0.03667793537248082    b[5] = 0.9999999999999969
a[6] = -0.0037377148259275456    b[6] = -0.16666666666665914
a[7] = -0.024205384730333488    b[7] = 0.7142857142852581
a[8] = -0.0037377148222384918    b[8] = -0.12500000000073563
a[9] = -0.019072647839736695    b[9] = 0.5555555555661321
a[10] = -0.003737714825925836    b[10] = -0.10000000000428255
a[11] = -0.016474464904056154    b[11] = 0.45454545459888573
a[12] = -0.003737714825927509    b[12] = -0.0833333333618882
a[13] = -0.01498012532453044    b[13] = 0.3846153850176583
a[14] = -0.0037377148259249413    b[14] = -0.07142857167753988
a[15] = -0.014042564617202612    b[15] = 0.3333333383313271
a[16] = -0.003737730165861535    b[16] = -0.0624999987171147
a[17] = -0.013415980190204395    b[17] = 0.2941176284539305
a[18] = -0.003737714825925764    b[18] = -0.055555552091363064
a[19] = -0.012976634846346102    b[19] = 0.2631578736670454
a[20] = -0.003737714825923785    b[20] = -0.049999994333055096
a[21] = -0.012656728579905768    b[21] = 0.2380951980378314
a[22] = -0.0037377148259330893    b[22] = -0.04545453379150478
a[23] = -0.01241658895637261    b[23] = 0.2173912177368408
a[24] = -0.003737714822244091    b[24] = -0.041666640518101344
a[25] = -0.012231747261915208    b[25] = 0.19999979944272586
a[26] = -0.0037377148259339884    b[26] = -0.038461475762883224
a[27] = -0.012086453821502106    b[27] = 0.18518468272753846
a[28] = -0.003737714825927646    b[28] = -0.03571411858589165
a[29] = -0.011970239082254037    b[29] = 0.17241231702643522
a[30] = -0.0037377148259251933    b[30] = -0.033332749304976636
a[31] = -0.011876839901228252    b[31] = 0.16128265479697765
a[32] = -0.0037219720856318424    b[32] = -0.03125053230612735
a[33] = -0.011798962356878918    b[33] = 0.1515281939384007
a[34] = -0.0037377148259259032    b[34] = -0.0294134549013575
a[35] = -0.011732908175096677    b[35] = 0.14286441502012048
a[36] = -0.003737714825931806    b[36] = -0.027779180498847325
a[37] = -0.011678127490157605    b[37] = 0.13514232504865176
a[38] = -0.0037377148259308663    b[38] = -0.026317320048353392
a[39] = -0.01163159420718635    b[39] = 0.1282134817153212
a[40] = -0.0037377148222388287    b[40] = -0.02500185666049575
a[41] = -0.011591693680056367    b[41] = 0.12196167489104488
a[42] = -0.003737714825926905    b[42] = -0.023811903404339863
a[43] = -0.011557203913260566    b[43] = 0.11629272240307467
a[44] = -0.003737714825925741    b[44] = -0.02273042768322539
a[45] = -0.011527166940802877    b[45] = 0.11112944700527641
a[46] = -0.003737714825899474    b[46] = -0.021743415909589964
a[47] = -0.011500814331082418    b[47] = 0.10640814618486857
a[48] = -0.0037377301658535413    b[48] = -0.020839270635975835
a[49] = -0.011477516355091316    b[49] = 0.1020760069956779
a[50] = -0.0037377148259402125    b[50] = -0.020008388962348942
Average innacuracy is 0.20416678151057796
